,Time,Miliseconds,Battery,Light,Temperature,Humidity,Noise dBA,Barometric pressure,VOC Gas CCS811,eCO2 Gas CCS811,PM 1.0,PM 2.5,PM 10.0
333,0,746,7,502,23.85,39.45,49.91,100.93,972.00,2124.00,none,none,none
334,0,747,7,501,23.85,39.46,49.36,100.93,972.00,2124.00,none,none,none
335,0,746,7,500,23.84,39.38,48.32,100.93,972.00,2124.00,none,none,none
336,0,746,7,500,23.85,39.38,49.11,100.93,972.00,2124.00,none,none,none
337,0,746,7,500,23.87,39.37,47.75,100.93,972.00,2124.00,none,none,none
338,0,745,7,500,23.84,39.41,49.07,100.93,972.00,2124.00,none,none,none
339,0,747,7,501,23.85,39.41,47.34,100.93,972.00,2124.00,none,none,none
340,0,747,7,501,23.84,39.44,48.26,100.93,972.00,2124.00,none,none,none
341,0,746,8,501,23.85,39.46,49.79,100.93,972.00,2124.00,2,3,3
342,0,1341,7,501,23.85,39.56,59.7,100.93,972.00,2124.00,2,3,3
343,0,747,7,500,23.81,39.63,49.41,100.93,972.00,2124.00,2,3,3
344,0,747,7,500,23.83,39.61,48.83,100.93,972.00,2124.00,2,3,3
345,0,746,7,500,23.87,39.68,48.05,100.93,972.00,2124.00,2,3,3
346,0,745,7,501,23.85,39.7,50.52,100.93,972.00,2124.00,2,3,3
347,0,745,7,500,23.84,39.79,49.31,100.93,972.00,2124.00,2,3,3
348,0,746,7,501,23.84,39.81,47.79,100.93,972.00,2124.00,2,3,3
349,0,745,7,500,23.83,39.91,49.37,100.92,972.00,2124.00,2,3,3
350,0,746,7,501,23.81,39.87,49.9,100.93,972.00,2124.00,2,3,3
351,0,747,7,500,23.83,39.84,48.54,100.92,972.00,2124.00,2,3,3
352,0,745,7,501,23.81,39.76,47.67,100.93,972.00,2124.00,2,3,3
353,0,744,7,500,23.81,39.72,49.62,100.93,1410.00,2326.00,2,3,3
354,0,774,7,498,23.84,39.79,49.94,100.93,1410.00,2326.00,2,3,3
355,0,745,7,500,23.83,39.79,50.12,100.93,1410.00,2326.00,2,3,3
356,0,744,7,498,23.83,39.73,50.43,100.93,1410.00,2326.00,2,3,3
357,0,745,7,498,23.83,39.76,48.62,100.93,1410.00,2326.00,2,3,3
358,0,745,7,500,23.83,39.72,49.23,100.93,1410.00,2326.00,2,3,3
359,0,743,7,500,23.83,39.72,48.38,100.93,1410.00,2326.00,2,3,3
360,0,745,7,501,23.81,39.65,50.06,100.93,1410.00,2326.00,2,3,3
361,0,746,7,500,23.81,39.64,49.46,100.93,1410.00,2326.00,2,none,none
